pruning,No.,total,fruits,mean_score,median_score
None,11,4,12,0.997511084,0.998590142
None,11,6,15,0.989794413,0.99833566
None,11,4,17,0.993117346,0.998712897
None,11,6,22,0.995390862,0.997649312
None,11,6,15,0.991552695,0.998202443
None,11,6,17,0.99372497,0.997705758
None,12,2,23,0.992480353,0.998057306
None,12,4,37,0.99179843,0.997977436
None,12,6,35,0.989693158,0.997869253
None,12,2,53,0.987129476,0.996432304
None,12,4,23,0.992480353,0.998057306
None,12,6,46,0.989101161,0.997570634
None,12,4,38,0.992157056,0.997557253
None,12,6,23,0.991152784,0.998123825
None,12,4,53,0.987129476,0.996432304
None,12,6,60,0.991530481,0.995751679
None,12,6,31,0.992350528,0.997234523
None,12,6,61,0.985553994,0.996515751
None,13,2,61,0.990825331,0.99734205
None,13,4,38,0.993755932,0.997759968
None,13,6,44,0.991877019,0.997225374
None,13,2,53,0.992567439,0.9979406
None,13,4,61,0.990825331,0.99734205
None,13,6,45,0.989037249,0.997347832
None,13,4,67,0.994394888,0.997841358
None,13,6,61,0.989626251,0.997324347
None,13,4,53,0.992567439,0.9979406
None,13,6,63,0.990869682,0.997037053
None,13,6,62,0.988544768,0.996405542
None,13,6,57,0.992563133,0.997370839
None,14,2,59,0.99548847,0.997979701
None,14,4,57,0.98641371,0.996182978
None,14,6,43,0.990904908,0.997805536
None,14,2,57,0.989941796,0.997404635
None,14,4,59,0.99450327,0.99784565
None,14,6,66,0.993279598,0.997485071
None,14,4,50,0.990048957,0.997532815
None,14,6,61,0.995563015,0.99769336
None,14,4,56,0.992919343,0.997752309
None,14,6,48,0.987924978,0.996340573
None,14,6,64,0.985607682,0.996426523
None,14,6,51,0.99434752,0.997876167
None,15,2,81,0.98518757,0.995922685
None,15,4,68,0.98448351,0.996191621
None,15,6,39,0.986995333,0.996439397
None,15,2,57,0.992141427,0.996604085
None,15,4,73,0.98725009,0.99599874
None,15,6,71,0.986846983,0.996652544
None,15,4,64,0.987468484,0.996804297
None,15,6,69,0.990030043,0.997006118
None,15,4,61,0.990371844,0.996799707
None,15,6,66,0.989190948,0.996778339
None,15,6,59,0.986472474,0.995736361
None,15,6,57,0.991955526,0.997036934
None,16,2,53,0.991637276,0.996991873
None,16,4,31,0.989474445,0.996788383
None,16,6,39,0.990515652,0.998187602
None,16,2,27,0.982118715,0.997151554
None,16,4,53,0.991637276,0.996991873
None,16,6,35,0.988213955,0.997579038
None,16,4,13,0.981977238,0.998122275
None,16,6,51,0.993459782,0.997010589
None,16,4,27,0.982118715,0.997151554
None,16,6,45,0.987785885,0.996123016
None,16,6,28,0.986219085,0.99608162
None,16,6,28,0.983587933,0.996630639
None,17,2,59,0.990661245,0.99606508
None,17,4,42,0.98944126,0.997343183
None,17,6,47,0.992262068,0.99710089
None,17,2,60,0.988272647,0.995730102
None,17,4,59,0.990661245,0.99606508
None,17,6,55,0.989835641,0.996904671
None,17,4,50,0.986720177,0.996617347
None,17,6,59,0.990661245,0.99606508
None,17,4,60,0.988272647,0.995730102
None,17,6,63,0.990750272,0.997472346
None,17,6,66,0.991202248,0.995992541
None,17,6,60,0.988272647,0.995730102
None,18,2,106,0.989131927,0.995602548
None,18,4,64,0.992579008,0.997328222
None,18,6,51,0.99419931,0.997297347
None,18,2,48,0.982939993,0.996431619
None,18,4,106,0.989131927,0.995602548
None,18,6,59,0.992527381,0.9970451
None,18,4,78,0.993463415,0.997444481
None,18,6,106,0.989131927,0.995602548
None,18,4,48,0.982939993,0.996431619
None,18,6,99,0.990508472,0.996019781
None,18,6,61,0.991824156,0.997886002
None,18,6,48,0.982939993,0.996431619
None,19,2,69,0.993223594,0.997632623
None,19,4,29,0.990796854,0.996888578
None,19,6,18,0.971015092,0.995179564
None,19,2,30,0.985812958,0.99739939
None,19,4,69,0.991360735,0.9978351
None,19,6,41,0.989248803,0.996554255
None,19,4,63,0.992819229,0.997008622
None,19,6,69,0.991360735,0.9978351
None,19,4,30,0.987423694,0.996718079
None,19,6,79,0.983489559,0.993845522
None,19,6,39,0.990184657,0.997798979
None,19,6,30,0.987423694,0.996718079
None,20,2,11,0.976309728,0.988355517
None,20,4,19,0.994605249,0.99782443
None,20,6,27,0.983527384,0.996224403
None,20,2,40,0.984251241,0.996149153
None,20,4,11,0.976309728,0.988355517
None,20,6,23,0.98204152,0.992851794
None,20,4,13,0.957904096,0.988431871
None,20,6,14,0.972688641,0.98475492
None,20,4,40,0.984251241,0.996149153
None,20,6,9,0.97630365,0.981896043
None,20,6,16,0.989381939,0.993631542
None,20,6,35,0.988358797,0.997063458
None,21,2,13,0.977337269,0.984213591
None,21,4,4,0.997938886,0.997862458
None,21,6,18,0.991861022,0.996774793
None,21,2,15,0.99338814,0.998004496
None,21,4,13,0.977337269,0.984213591
None,21,6,5,0.985868931,0.995169818
None,21,4,2,0.987014771,0.987014771
None,21,6,13,0.977337269,0.984213591
None,21,4,15,0.99338814,0.998004496
None,21,6,6,0.988274803,0.993220001
None,21,6,7,0.975094054,0.99825877
None,21,6,15,0.99338814,0.998004496
None,22,2,33,0.984346005,0.990554512
None,22,4,35,0.987542859,0.997929931
None,22,6,35,0.990871348,0.997386754
None,22,2,21,0.995510135,0.998029768
None,22,4,40,0.980483121,0.991459906
None,22,6,44,0.98247503,0.99704659
None,22,4,36,0.987107489,0.995595634
None,22,6,40,0.980483121,0.991459906
None,22,4,22,0.994433907,0.998168349
None,22,6,36,0.987118665,0.997015536
None,22,6,19,0.988771486,0.993987918
None,22,6,22,0.994433907,0.998168349
None,23,2,50,0.983038116,0.996639669
